Omega	Omega_err	MA1	svev	alpha
1.95906e-06	2.0772e-10	407.691	473.485	-0.266107
0.000204722	4.05013e-08	403.843	373.657	-0.0753885
0.0112691	1.37355e-06	975.986	410.265	0.117033
0.000939984	1.16255e-07	338.495	706.954	-0.188005
0.00635376	7.46449e-07	863.546	259.015	0.160706
0.00446796	6.60527e-07	221.807	929.953	-0.153529
0.000198184	4.8541e-08	599.036	456.001	0.31648
0.0445142	4.3528e-06	94.8119	682.541	-0.238964
0.0384224	4.7611e-06	751.035	865.266	-0.103315
0.0296843	3.63403e-06	837.143	440.515	0.113952
0.0161845	1.93816e-06	85.3922	412.105	-0.331603
0.0107433	8.09702e-07	95.0279	339.799	0.263768
0.00070134	7.31873e-08	210.381	351.273	0.163475
0.0124696	1.3945e-06	655.527	791.776	-0.121507
0.0454129	5.91012e-06	844.931	465.53	0.0140659
0.00110891	3.22364e-07	620.388	883.923	0.295532
0.0948795	7.8464e-06	98.3452	399.018	-0.0924427
0.000563803	1.68144e-07	565.419	309.813	-0.270686
0.0597819	8.89446e-06	173.853	585.973	0.0545812
0.00754122	8.82807e-07	649.69	375.827	-0.211006
0.00762697	2.71568e-06	863.079	981.257	0.1798
0.00142273	4.48541e-07	320.911	465.667	0.197944
0.0543201	7.1592e-06	260.484	310.068	0.0575105
0.012273	1.4344e-06	900.29	994.375	-0.270001
0.0789172	9.63045e-06	319.09	672.803	-0.242644
0.0042474	5.31876e-07	262.639	159.459	-0.134421
0.0555241	7.06609e-06	752.119	526.815	-0.159513
0.00963715	1.12144e-06	733.363	451.365	-0.0953043
0.0012271	3.76671e-07	987.5	353.979	0.194767
0.00940035	9.97771e-07	335.916	803.691	0.124371
